##	key	name	TextCHS	TextCHT	TextEN
##type	string	string	string	string	string
##comment		控件名，方便查找	简体中文	繁体中文	英文
##	Common/Components/TwoComponent.xml				
	f2boiu4iw6rg3-n0_w6rg	title	第二个组件		
	f2boiu4iw6rg3-n4_w6rg	OneBtn	按钮		
##	Game/GamePanel.xml				
	3kf0p8qmu0ri0-n8_u0ri	StartButton	开始游戏	_始[	Start Game
	3kf0p8qmu0ri0-n10_u0ri	SettingButton	设置	O置	Setting
##	Game/SettingPanel.xml				
	3kf0p8qmu0riw-n14_u0ri	LanguageText	语言	Z言	Language
	3kf0p8qmu0riw-n16_xglt	BackgroundText	背景音量	背景音量	Music Volume
	3kf0p8qmu0riw-n17_xglt	SFXText	特效音量	特效音量	SFX Volume
##	HotUpdate/HotUpdatePanel.xml				
	2f8jqefflobh0-n0_lobh	n0	热更新	嵝	Hotfix
##	Lobby/LobbyPanel.xml				
	ti3ka994t52l0-n2_lobh	TestABtn	打开测试A		
	ti3ka994t52l0-n3_lobh	EnterMap	进入地图		
##	Login/LoginPanel.xml				
	rgfb0w498omm0-n27_lobh	LoginBtn	进入地图		
##	Stage/StagePanel.xml				
	3m1vqahlu0ri0-n8_u0ri	n8	Game Over		
	3m1vqahlu0ri0-n12_u0ri	n12	Win!		
	3m1vqahlu0ri0-n14_xglt	TargetText	目标：	目耍	Target:
##	TestA/Button1.xml				
	2kcjlx6nw6rg2-n3_w6rg	Text1	文字1		
	2kcjlx6nw6rg2-n4_w6rg	Text2	文字2		
	2kcjlx6nw6rg2-n5_w6rg	title	标题		
##	TestA/TestAPanel.xml				
	2kcjlx6nlobh1-n1_lobh	n1	多语言测试		
	2kcjlx6nlobh1-n2_lobh	HideBtn	隐藏测试A界面		
	2kcjlx6nlobh1-n0_lobh	OpenTestBBtn	打开测试B界面		
	2kcjlx6nlobh1-n7_lbin	n7	标签		
	2kcjlx6nlobh1-n9_lbin	n9	测试\r\n换行		
	2kcjlx6nlobh1-n12_lbin	n12	"""引'号"",""逗号，测'试"""		
	2kcjlx6nlobh1-n13_lbin	n13	制表符\t测试		
	2kcjlx6nlobh1-n14_lbin	n14	测试\n换行		
	2kcjlx6nlobh1-n15_w6rg	n15	按钮		
	2kcjlx6nlobh1-n15_w6rg-0	n15	选中标题		
	2kcjlx6nlobh1-n19_w6rg	n19	选项2		
	2kcjlx6nlobh1-n19_w6rg-0	n19	选中选项2		
	2kcjlx6nlobh1-n18_w6rg	n18	选项1		
	2kcjlx6nlobh1-n18_w6rg-0	n18	选中选项1		
	2kcjlx6nlobh1-n23_w6rg	n23	富文本		
##	TestB/Components/Button1.xml				
	296l7tjhw6rg2-n3_w6rg	n3	按钮		
##	TestB/Components/OneComponent.xml				
	296l7tjhw6rg1-n0_w6rg	title	一个组件		
##	TestB/TestBPanel.xml				
	296l7tjhlobh0-n0_lobh	n0	测试B		
	296l7tjhlobh0-n1_lobh	CloseBtn	关闭测试B界面		
	296l7tjhlobh0-n5_khvd	OpenTestCBtn	打开测试C界面		
##	TestB/TestCPanel.xml				
	296l7tjhkhvd3-n0_lobh	n0	测试C		
	296l7tjhkhvd3-n1_lobh	CloseBtn	关闭测试C界面		
	296l7tjhkhvd3-n5_nt9r	n5	代码里设置Loader.url时，如果没有加载UIPackage，则调用同步接口加载。		
	296l7tjhkhvd3-n7_jko3	n7	引用了Icon3包里的组件，\n该组件引用了Icon4包里的图片。		
